Boston Globe/SocialSphere,2014,7/13 - 7/22,2014 Massachusetts Governor: Baker vs. Coakley
Boston Globe/SocialSphere,2014,7/13 - 7/22,2014 Massachusetts Gubernatorial GE
Boston Globe/SocialSphere,2014,7/13 - 7/22,2014 Massachusetts Gubernatorial GE
"Normington, Petts & Associates (D-Michaud)",2014,7/14 - 7/16,2014 Maine Governor: LePage vs. Michaud vs. Cutler
Roanoke College,2014,7/14 - 7/19,2014 Virginia Senate: Gillespie vs. Warner
Rasmussen,2014,7/14 - 7/20,2014 National House Race
Landmark (R),2014,7/15 - 7/15,2014 Georgia Governor: Deal vs. Carter
Rasmussen,2014,7/15 - 7/16,2014 Oklahoma Governor: Fallin vs. Dorman
Rasmussen,2014,7/15 - 7/16,2014 Oklahoma Senate: Inhofe vs. Silverstein
InsiderAdvantage/Fox 5 Atlanta/Morris News Service,2014,7/15 - 7/16,2014 Georgia Senate Republican Primary Runoff
FMMMA (D-Owens),2014,7/15 - 7/17,2014 Utah House: 4th District
Fabrizio (R-Let's Get to Work),2014,7/15 - 7/17,2014 Florida Governor: Scott vs. Crist
Lake Research Partners (D-Trivedi),2014,7/15 - 7/17,2014 Pennsylvania CD-06
Rasmussen,2014,7/15 - 7/21,2014 National House Race
Landmark (R),2014,7/16 - 7/16,2014 Georgia Senate Republican Primary Runoff
Landmark (R),2014,7/16 - 7/16,2014 Georgia Senate: Perdue vs. Nunn
Magellan (R-Citizens for a Strong New Hampshire),2014,7/16 - 7/17,2014 New Hampshire Senate: Brown vs. Shaheen
Harper (R-Veterans for a Strong America),2014,7/16 - 7/17,2014 Arizona Gubernatorial Republican Primary
Benenson (D-Schwartz),2014,7/16 - 7/18,2014 Pennsylvania Governor Democratic Primary
VSS (R)/Post and Courier/WCIV/WACH/WYFF,2014,7/16 - 7/20,2014 South Carolina Senate: Graham vs. Hutto
VSS (R)/Post and Courier/WCIV/WACH/WYFF,2014,7/16 - 7/20,2014 South Carolina Governor: Haley vs. Sheheen
Clarity (D-South Dakota Democratic Party),2014,7/16 - 7/23,2014 South Dakota Senate: Rounds vs. Weiland
Gravis/Human Events (R),2014,7/17 - 7/18,2014 Iowa Senate: Ernst vs. Braley
Gravis/Human Events (R),2014,7/17 - 7/18,2014 Iowa Governor: Branstad vs. Hatch
PPP (D),2014,7/17 - 7/18,2014 Montana Senate: Daines vs. Walsh
Harper (R-Conservative Intelligence Briefing),2014,7/17 - 7/18,2014 Wyoming Senate Republican Primary
Gravis Marketing/Human Events (R),2014,7/17 - 7/19,2014 New York House: 18th District
Gravis/Human Events (R),2014,7/17 - 7/20,2014 Kentucky Senate: McConnell vs. Grimes
Marquette Law School,2014,7/17 - 7/20,2014 Wisconsin Governor: Walker vs. Burke
PPP (D),2014,7/17 - 7/20,2014 North Carolina Senate: Tillis vs. Hagan
MassINC,2014,7/17 - 7/20,2014 Massachusetts Senate GE
PPP (D),2014,7/17 - 7/20,2014 Colorado Senate: Gardner vs. Udall
PPP (D),2014,7/17 - 7/20,2014 Colorado Governor: Beauprez vs. Hickenlooper
Quinnipiac,2014,7/17 - 7/21,2014 Florida Governor: Scott vs. Crist
Quinnipiac,2014,7/17 - 7/21,2014 Florida Governor: Scott vs. Rich
SurveyUSA/WFLA-TV,2014,7/17 - 7/21,2014 Florida Governor: Scott vs. Crist
NBC/WSJ,2014,7/17 - 7/21,2014 National House Race
Harstad (D-Illinois Education Assocation),2014,7/17 - 7/22,2014 Illinois Governor: Rauner vs. Quinn
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Governor: Brownback vs. Davis
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Gubernatorial Republican Primary
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate Republican Primary
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate Democratic Primary
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate: Roberts vs. Taylor
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate GE
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate: Wolf vs. Taylor
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate GE
SurveyUSA/KSN,2014,7/17 - 7/22,2014 Kansas Senate
CNN,2014,7/18 - 7/20,2014 National House Race
SurveyUSA/Courier-Journal/Herald-Leader/WHAS/WKYT,2014,7/18 - 7/23,2014 Kentucky Senate: McConnell vs. Grimes
PPP (D-Progressive Change Campaign Committee),2014,7/19 - 7/21,2014 Kentucky Senate: McConnell vs. Grimes
PPP (D),2014,7/19 - 7/21,2014 Wyoming Senate Republican Primary
PPP (D),2014,7/19 - 7/21,2014 Wyoming Gubernatorial Republican Primary
PPP (D),2014,7/19 - 7/21,2014 Wyoming Senate GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Senate GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Senate GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Senate GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Gubernatorial GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Gubernatorial GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Gubernatorial GE
PPP (D),2014,7/19 - 7/21,2014 Wyoming Gubernatorial GE
North Star Opinion Research (R-Alexander),2014,7/20 - 7/22,2014 Tennessee Senate Republican Primary
FOX,2014,7/20 - 7/22,2014 National House Race
Anzalone Liszt Grove (D-Wakefield),2014,7/20 - 7/22,2014 Kansas House: 2nd District
GBA Strategies (D-House Majority PAC),2014,7/20 - 7/22,2014 California House: 52nd District
Gravis/Human Events (R),2014,7/20 - 7/22,2014 Montana Senate: Daines vs. Walsh
Gravis/Human Events (R),2014,7/20 - 7/22,2014 Montana House: At-Large District: Zinke vs. Lewis
Harstad (D-Senate Majority PAC),2014,7/20 - 7/24,2014 Alaska Senate: Sullivan vs. Begich
Anzalone Liszt Grove (D-DSCC),2014,7/20 - 7/24,2014 Arkansas Senate: Cotton vs. Pryor
Mellman (D-Grimes),2014,7/20 - 7/24,2014 Kentucky Senate: McConnell vs. Grimes
Cole Hargrave Snodgrass (R),2014,7/20 - 7/25,2014 Oklahoma Governor: Fallin vs. Dorman
Boston Globe/SocialSphere,2014,7/20 - 7/29,2014 Massachusetts Governor Democratic Primary
Boston Globe/SocialSphere,2014,7/20 - 7/29,2014 Massachusetts Governor: Baker vs. Coakley
Boston Globe/SocialSphere,2014,7/20 - 7/29,2014 Massachusetts Gubernatorial GE
Boston Globe/SocialSphere,2014,7/20 - 7/29,2014 Massachusetts Gubernatorial GE
Rasmussen,2014,7/21 - 7/22,2014 New Mexico Senate: Weh vs. Udall
Rasmussen,2014,7/21 - 7/22,2014 New Mexico Governor: Martinez vs. King
Rasmussen,2014,7/21 - 7/27,2014 National House Race
Honolulu Star-Advertiser/Hawaii News Now/Ward Research,2014,7/21 - 7/29,2014 Hawaii Gubernatorial Democratic Primary
Honolulu Star-Advertiser/Hawaii News Now/Ward Research,2014,7/21 - 7/29,2014 Hawaii Governor: Aiona vs. Abercrombie
Honolulu Star-Advertiser/Hawaii News Now/Ward Research,2014,7/21 - 7/29,2014 Hawaii Governor: Aiona vs. Ige
Honolulu Star-Advertiser/Hawaii News Now/Ward Research,2014,7/21 - 7/29,2014 Hawaii Senate Democratic Primary
Hendrix College/Talk Business,2014,7/22 - 7/25,2014 Arkansas House: 4th District
Hendrix College/Talk Business,2014,7/22 - 7/25,2014 Arkansas Governor: Hutchinson vs. Ross
Hendrix College/Talk Business,2014,7/22 - 7/25,2014 Arkansas Senate: Cotton vs. Pryor
Hendrix College/Talk Business,2014,7/22 - 7/25,2014 Arkansas CD-03
Hendrix College/Talk Business,2014,7/22 - 7/25,2014 Arkansas CD-02
Hendrix College/Talk Business,2014,7/22 - 7/25,2014 Arkansas CD-01
Gravis/Human Events (R),2014,7/22 - 7/27,2014 North Carolina Senate: Tillis vs. Hagan
Rasmussen,2014,7/22 - 7/28,2014 National House Race
Rasmussen,2014,7/23 - 7/24,2014 Georgia Governor: Deal vs. Carter
PPP (D-League of Conservation Voters/Schatz),2014,7/23 - 7/24,2014 Hawaii Senate Democratic Primary
PPP (D-League of Conservation Voters/Schatz),2014,7/23 - 7/24,2014 Hawaii Gubernatorial Democratic Primary
Rasmussen,2014,7/23 - 7/24,2014 Georgia Senate: Perdue vs. Nunn
Rasmussen,2014,7/23 - 7/24,2014 Georgia Senate Runoff
"Denno (D)/Lambert, Edwards & Associates",2014,7/23 - 7/24,2014 Michigan Senate: Land vs. Peters
"Denno (D)/Lambert, Edwards & Associates",2014,7/23 - 7/24,2014 Michigan Governor: Snyder vs. Schauer
Wenzel Strategies (R),2014,7/23 - 7/24,2014 Kentucky Senate: McConnell vs. Grimes
Wenzel Strategies (R),2014,7/23 - 7/24,2014 Kentucky Senate: Bevin vs. Grimes
Wenzel Strategies (R),2014,7/23 - 7/24,2014 Kentucky Senate Republican Primary
AFSCME Polling Center (D),2014,7/23 - 7/27,2014 Arkansas Senate: Cotton vs. Pryor
AFSCME Polling Center (D),2014,7/23 - 7/27,2014 Arkansas Gubernatorial Democratic Primary
Nielson Brothers Polling/Northern Plain News,2014,7/23 - 7/28,2014 South Dakota Governor: Daugaard vs. Wismer
Nielson Brothers Polling/Northern Plain News,2014,7/23 - 7/28,2014 South Dakota House: At-Large District
Gravis/Human Events (R),2014,7/24 - 7/24,2014 Montana Senate: Daines vs. Walsh
Honolulu Civil Beat/Merriman,2014,7/24 - 7/28,2014 Hawaii Senate Democratic Primary
AP-GfK (Web),2014,7/24 - 7/28,2014 National House Race
Quinnipiac,2014,7/24 - 7/28,2014 Ohio Governor: Kasich vs. FitzGerald
Honolulu Civil Beat/Merriman,2014,7/24 - 7/28,2014 Hawaii Gubernatorial Democratic Primary
Landmark (R),2014,7/25 - 7/25,2014 Georgia Governor: Deal vs. Carter
Landmark (R),2014,7/25 - 7/25,2014 Georgia Senate: Perdue vs. Nunn
PPP (D),2014,7/25 - 7/28,2014 Alaska Senate: Miller vs. Begich
PPP (D),2014,7/25 - 7/28,2014 Alaska Senate GE
PPP (D),2014,7/25 - 7/28,2014 Alaska Senate: Sullivan vs. Begich
PPP (D),2014,7/25 - 7/28,2014 Alaska Senate: Treadwell vs. Begich
PPP (D),2014,7/25 - 7/28,2014 Alaska Gubernatorial GE
PPP (D),2014,7/25 - 7/28,2014 Alaska Gubernatorial GE
PPP (D),2014,7/25 - 7/28,2014 Alaska Gubernatorial GE
PPP (D),2014,7/25 - 7/28,2014 Alaska Gubernatorial GE
PPP (D),2014,7/25 - 7/28,2014 Alaska CD-AL
PPP (D),2014,7/25 - 7/28,2014 Alaska Senate Republican Primary
PPP (D),2014,7/25 - 7/28,2014 Alaska Gubernatorial Republican Primary
MPRC,2014,7/26 - 7/28,2014 Maine Governor: LePage vs. Michaud vs. Cutler
Benenson (D-League of Conservation Voters),2014,7/26 - 7/29,2014 Michigan Senate: Land vs. Peters
Harper (R),2014,7/26 - 7/29,2014 Nevada Governor: Sandoval vs. Goodman
Marketing Resource Group (R),2014,7/26 - 7/30,2014 Michigan Governor: Snyder vs. Schauer
Marketing Resource Group (R),2014,7/26 - 7/30,2014 Michigan Senate: Land vs. Peters
Vox Populi (R),2014,7/27 - 7/28,2014 Connecticut Governor: Foley vs. Malloy
Vox Populi (R),2014,7/27 - 7/28,2014 Georgia Senate: Perdue vs. Nunn
Vox Populi (R),2014,7/27 - 7/28,2014 Georgia Senate Runoff
Mellman (D-Quinn),2014,7/27 - 7/29,2014 Illinois Governor: Rauner vs. Quinn
North Star Opinion Research (R-Alexander),2014,7/27 - 7/29,2014 Tennessee Senate Republican Primary
POS (R-Katko),2014,7/27 - 7/29,2014 New York House: 24th District
Hampton University,2014,7/27 - 7/30,2014 Virginia Senate: Gillespie vs. Warner
Boston Globe/SocialSphere,2014,7/27 - 8/05,2014 Massachusetts Governor Democratic Primary
Boston Globe/SocialSphere,2014,7/27 - 8/05,2014 Massachusetts Governor: Baker vs. Coakley
Boston Globe/SocialSphere,2014,7/27 - 8/05,2014 Massachusetts Gubernatorial GE
Boston Globe/SocialSphere,2014,7/27 - 8/05,2014 Massachusetts Gubernatorial GE
We Ask America/Reboot Illinois,2014,7/28 - 7/28,2014 Illinois Governor: Rauner vs. Quinn
Civitas (R),2014,7/28 - 7/29,2014 North Carolina Senate: Tillis vs. Hagan
Rasmussen,2014,7/28 - 7/29,2014 Michigan Governor: Snyder vs. Schauer
Rasmussen,2014,7/28 - 7/29,2014 Michigan Senate: Land vs. Peters
RRH/PMI (R),2014,7/28 - 7/30,2014 Tennessee Senate Republican Primary
Quinnipiac,2014,7/28 - 7/31,2014 National House Race
Mass Insight/Opinion Dynamics,2014,7/28 - 8/03,2014 Massachusetts Gubernatorial GE
Mass Insight/Opinion Dynamics,2014,7/28 - 8/03,2014 Massachusetts Governor: Baker vs. Coakley
Rasmussen,2014,7/28 - 8/03,2014 National House Race
Rasmussen,2014,7/29 - 7/30,2014 Florida Governor: Scott vs. Crist
Rasmussen,2014,7/29 - 7/30,2014 Illinois Governor: Rauner vs. Quinn
OnMessage (R-NRSC),2014,7/29 - 7/30,2014 Arkansas Senate: Cotton vs. Pryor
OnMessage (R-Westerman),2014,7/29 - 7/31,2014 Arkansas House: 4th District
Moore (R),2014,7/29 - 7/31,2014 Alaska Senate Republican Primary
Harper (R),2014,7/29 - 7/31,"2014 Massachusetts House: 6th District, Tisei vs. Tierney"
CBS,2014,7/29 - 8/04,2014 National House Race
Rasmussen,2014,7/29 - 8/04,2014 National House Race
NBC/WSJ,2014,7/30 - 8/03,2014 National House Race
Gravis/Human Events (R),2014,7/31 - 8/02,2014 Wisconsin Governor: Walker vs. Burke
Myers (D-Murphy),2014,7/31 - 8/03,2014 Iowa House: 1st District
PPP (D),2014,7/31 - 8/03,2014 Alaska Senate Republican Primary
PPP (D),2014,7/31 - 8/03,2014 Alaska Senate: Sullivan vs. Begich
PPP (D),2014,7/31 - 8/03,2014 Alaska Senate: Treadwell vs. Begich
PPP (D),2014,7/31 - 8/03,2014 Alaska Senate: Miller vs. Begich
PPP (D),2014,7/31 - 8/03,2014 Alaska Governor: Parnell vs. Mallott
Quinnipiac,2014,7/31 - 8/04,2014 New Jersey Senate: Bell vs. Booker
SurveyUSA/WFLA-TV,2014,7/31 - 8/04,2014 Florida Governor: Scott vs. Crist
PPP (D),2014,8/01 - 8/03,2014 Arkansas Senate: Cotton vs. Pryor
PPP (D),2014,8/01 - 8/03,2014 Arkansas Governor: Hutchinson vs. Ross
SurveyUSA,2014,8/01 - 8/05,2014 Oregon Governor: Richardson vs. Kitzhaber
SurveyUSA,2014,8/01 - 8/05,2014 Oregon Senate: Wehby vs. Merkley
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate Republican Primary
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate: Broun vs. Nunn
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate: Gingrey vs. Nunn
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate GE
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate: Handel vs. Nunn
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate: Kingston vs. Nunn
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate: Perdue vs. Nunn
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate GE
PPP (D),2014,8/02 - 8/04,2014 Georgia Senate Runoff
PPP (D),2014,8/02 - 8/05,2014 Georgia Gubernatorial GE
PPP (D),2014,8/02 - 8/05,2014 Georgia Governor: Deal vs. Carter
PPP (D),2014,8/02 - 8/05,2014 Georgia Gubernatorial GE
Daily Kos (D)/Google Consumer Surveys,2014,8/03 - 8/03,2014 Kansas Senate Republican Primary
Vox Populi (R),2014,8/03 - 8/04,2014 Montana Senate: Daines vs. Walsh
Vox Populi (R),2014,8/03 - 8/04,2014 Montana House: At-Large District: Zinke vs. Lewis
Tarrance (R-Miller-Meeks),2014,8/03 - 8/05,2014 Iowa CD-02
Boston Globe/SocialSphere,2014,8/03 - 8/12,2014 Massachusetts Governor Democratic Primary
Boston Globe/SocialSphere,2014,8/03 - 8/12,2014 Massachusetts Governor: Baker vs. Coakley
Boston Globe/SocialSphere,2014,8/03 - 8/12,2014 Massachusetts Gubernatorial GE
Boston Globe/SocialSphere,2014,8/03 - 8/12,2014 Massachusetts Gubernatorial GE
Moore (R),2014,8/04 - 8/05,2014 Alaska Senate Republican Primary
Gravis/Human Events (R),2014,8/04 - 8/05,2014 Illinois Governor: Rauner vs. Quinn
Gravis/Human Events (R),2014,8/04 - 8/05,2014 Illinois Senate: Oberweis vs. Durbin
Rasmussen,2014,8/04 - 8/05,2014 Texas Governor: Abbott vs. Davis
Rasmussen,2014,8/04 - 8/05,2014 Texas Senate: Cornyn vs. Alameel
Harper (R-Conservative Intel),2014,8/04 - 8/05,2014 Arkansas Senate: Cotton vs. Pryor
Harper (R-Conservative Intel),2014,8/04 - 8/05,2014 Arkansas Governor: Hutchinson vs. Ross
McClatchy/Marist,2014,8/04 - 8/07,2014 National House Race
Gravis Marketing,2014,8/04 - 8/07,2014 Connecticut Governor: Foley vs. Malloy
Gravis Marketing,2014,8/04 - 8/07,2014 Connecticut Gubernatorial GE
Siena,2014,8/04 - 8/07,2014 New York Governor: Astorino vs. Cuomo
Rasmussen,2014,8/04 - 8/10,2014 National House Race
Mitchell Research,2014,8/05 - 8/05,2014 Michigan Governor: Snyder vs. Schauer
Mitchell Research,2014,8/05 - 8/05,2014 Michigan Senate: Land vs. Peters
Rasmussen,2014,8/05 - 8/06,2014 North Carolina Senate: Tillis vs. Hagan
Moore (R-Richardson for Governor),2014,8/05 - 8/07,2014 Oregon Senate: Wehby vs. Merkley
Moore (R-Richardson for Governor),2014,8/05 - 8/07,2014 Oregon Governor: Richardson vs. Kitzhaber
Rasmussen,2014,8/05 - 8/11,2014 National House Race
Lake Research (D-Public Campaign Action Fund),2014,8/05 - 8/15,2014 Kentucky Senate: McConnell vs. Grimes
We Ask America/Chicago Sun-Times,2014,8/06 - 8/06,2014 Illinois Governor: Rauner vs. Quinn
Rasmussen,2014,8/06 - 8/07,2014 Kansas Governor: Brownback vs. Davis
Rasmussen,2014,8/06 - 8/07,2014 Kansas Senate: Roberts vs. Taylor
The Polling Company Inc./WomanTrend (R-Free Beacon),2014,8/06 - 8/07,2014 Arkansas Senate: Cotton vs. Pryor
Benenson (D-Schwartz),2014,8/06 - 8/08,2014 Pennsylvania Governor: Corbett vs. Schwartz
Reason/Rupe,2014,8/06 - 8/10,2014 National House Race
Lake Research (D-Progress Michigan),2014,8/06 - 8/11,2014 Michigan Governor: Snyder vs. Schauer
Lake Research (D-Progress Michigan),2014,8/06 - 8/11,2014 Michigan Senate: Land vs. Peters
Opinion Research Associates (D-Arkansas Democratic Party),2014,8/06 - 8/14,2014 Arkansas Senate: Cotton vs. Pryor
Opinion Research Associates (D-Arkansas Democratic Party),2014,8/06 - 8/14,2014 Arkansas Governor: Hutchinson vs. Ross
Dan Jones & Associates,2014,8/07 - 8/09,2014 Utah House: 4th District
PPP (D),2014,8/07 - 8/10,2014 Kentucky Senate: McConnell vs. Grimes
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire CD-02
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire House: 2nd District
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire CD-02
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire House: 1st District
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire CD-01
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire Governor: Hemingway vs. Hassan
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire Governor: Havenstein vs. Hassan
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire Senate: Brown vs. Shaheen
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire Senate GE
UNH/WMUR,2014,8/07 - 8/17,2014 New Hampshire Senate GE
PPP (D-Ohio Democratic Party),2014,8/08 - 8/09,2014 Ohio Governor: Kasich vs. FitzGerald
Hicks Evaluation Group (D-Truman National Security Project),2014,8/08 - 8/10,2014 Georgia Senate: Perdue vs. Nunn
Hicks Evaluation Group (D-Truman National Security Project),2014,8/08 - 8/10,2014 Georgia Governor: Deal vs. Carter
Hicks Evaluation Group (D-Truman National Security Project),2014,8/08 - 8/10,2014 Georgia Senate Runoff
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate Republican Primary
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate GE
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate: Brannon vs. Hagan
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate GE
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate GE
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate GE
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate GE
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate: Tillis vs. Hagan
PPP (D),2014,8/08 - 8/11,2014 North Carolina Senate GE
FOX,2014,8/10 - 8/12,2014 National House Race
POS (R-Mooney/NRCC),2014,8/10 - 8/12,2014 West Virginia CD-02
Cherry (R-Florida Chamber of Commerce),2014,8/10 - 8/13,2014 Florida Governor: Scott vs. Crist
Boston Globe/SocialSphere,2014,8/10 - 8/19,2014 Massachusetts Governor Democratic Primary
Boston Globe/SocialSphere,2014,8/10 - 8/19,2014 Massachusetts Governor: Baker vs. Coakley
Boston Globe/SocialSphere,2014,8/10 - 8/19,2014 Massachusetts Gubernatorial GE
Boston Globe/SocialSphere,2014,8/10 - 8/19,2014 Massachusetts Gubernatorial GE
The Polling Company Inc./WomanTrend (R-Blum),2014,8/11 - 8/12,2014 Iowa CD-01
Rasmussen,2014,8/11 - 8/12,2014 Iowa Governor: Branstad vs. Hatch
Rasmussen,2014,8/11 - 8/12,2014 Tennessee Governor: Haslam vs. Brown
Rasmussen,2014,8/11 - 8/12,2014 Tennessee Senate: Alexander vs. Ball
Rasmussen,2014,8/11 - 8/12,2014 Iowa Senate: Ernst vs. Braley
POS (R-Rounds),2014,8/11 - 8/13,2014 South Dakota Senate: Rounds vs. Weiland
Fleming and Associates/WPRI,2014,8/11 - 8/14,2014 Rhode Island Governor Democratic Primary
Rasmussen,2014,8/11 - 8/17,2014 National House Race
PPP (D-Weiland),2014,8/12 - 8/13,2014 South Dakota Senate: Rounds vs. Weiland
InsiderAdvantage,2014,8/12 - 8/13,2014 Georgia Governor: Deal vs. Carter
InsiderAdvantage,2014,8/12 - 8/13,2014 Georgia Senate: Perdue vs. Nunn
Albuquerque Journal/Research & Polling,2014,8/12 - 8/14,2014 New Mexico Governor: Martinez vs. King
Garin-Hart-Yang (D-Durbin),2014,8/12 - 8/14,2014 Illinois Governor: Rauner vs. Quinn
Albuquerque Journal/Research & Polling,2014,8/12 - 8/14,2014 New Mexico Senate: Weh vs. Udall
Rasmussen,2014,8/12 - 8/18,2014 National House Race
Rasmussen,2014,8/13 - 8/14,2014 Minnesota Governor: Johnson vs. Dayton
Rasmussen,2014,8/13 - 8/14,2014 Wisconsin Governor: Walker vs. Burke
Rasmussen,2014,8/13 - 8/14,2014 Minnesota Senate: McFadden vs. Franken
OnMessage (R-NRSC),2014,8/13 - 8/15,2014 Louisiana Senate: Cassidy vs. Landrieu
DCCC (D),2014,8/14 - 8/14,2014 Nebraska CD-02
Hays Research (D),2014,8/14 - 8/15,2014 Alaska Senate: Treadwell vs. Begich
Harper (R-Conservative Intel),2014,8/14 - 8/15,2014 Louisiana Senate: Cassidy vs. Landrieu
Harper (R-Conservative Intel),2014,8/14 - 8/15,2014 Louisiana Senate GE
Harper (R-Conservative Intel),2014,8/14 - 8/15,2014 Louisiana Senate GE
Hays Research (D),2014,8/14 - 8/15,2014 Alaska Senate GE
Quinnipiac,2014,8/14 - 8/17,2014 New York Governor: Astorino vs. Cuomo
PPP (D),2014,8/14 - 8/17,2014 Kansas Governor: Brownback vs. Davis
PPP (D),2014,8/14 - 8/17,2014 Kansas Senate: Roberts vs. Taylor
PPP (D),2014,8/14 - 8/17,2014 Kansas Senate GE
PPP (D),2014,8/14 - 8/17,2014 Kansas Senate
PPP (D),2014,8/14 - 8/17,2014 North Carolina Senate: Tillis vs. Hagan
SurveyUSA/11Alive,2014,8/14 - 8/17,2014 Georgia Senate: Perdue vs. Nunn
SurveyUSA/11Alive,2014,8/14 - 8/17,2014 Georgia Governor: Deal vs. Carter
Gravis Marketing,2014,8/14 - 8/24,2014 Florida Governor: Scott vs. Crist
Field,2014,8/14 - 8/28,2014 California Governor: Kashkari vs. Brown
SurveyUSA/WFLA-TV,2014,8/15 - 8/18,2014 Florida Governor: Scott vs. Crist
Quinnipiac,2014,8/15 - 8/21,2014 Colorado Governor: Tancredo vs. Hickenlooper
Quinnipiac,2014,8/15 - 8/21,2014 Colorado Governor: Gessler vs. Hickenlooper
Quinnipiac,2014,8/15 - 8/21,2014 Colorado Gubernatorial GE
R.L. Repass & Partners,2014,8/15 - 8/22,2014 West Virginia Senate: Capito vs. Tennant
R.L. Repass & Partners/Charleston Daily Mail,2014,8/15 - 8/23,2014 West Virginia Senate: Capito vs. Tennant
PPP (D-Bellows),2014,8/16 - 8/18,2014 Maine Senate: Collins vs. Bellows
Suffolk/USA Today,2014,8/16 - 8/19,2014 North Carolina Senate: Tillis vs. Hagan
PPP (D),2014,8/16 - 8/19,2014 Louisiana Senate: Cassidy vs. Landrieu
PPP (D),2014,8/16 - 8/19,2014 Louisiana Senate GE
PPP (D),2014,8/16 - 8/19,2014 Louisiana Senate GE
PPP (D),2014,8/16 - 8/19,2014 Louisiana Senate Primary
PPP (D),2014,8/16 - 8/19,2014 Ohio Governor: Kasich vs. FitzGerald
POS (R-Poliquin),2014,8/17 - 8/19,2014 Maine House: 2nd District
Cole Hargrave Snodgrass (R-Brownback),2014,8/17 - 8/20,2014 Kansas Governor: Brownback vs. Davis
Boston Globe/SocialSphere,2014,8/17 - 8/26,2014 Massachusetts Governor Democratic Primary
Boston Globe/SocialSphere,2014,8/17 - 8/26,2014 Massachusetts Governor: Baker vs. Coakley
Boston Globe/SocialSphere,2014,8/17 - 8/26,2014 Massachusetts Gubernatorial GE
Boston Globe/SocialSphere,2014,8/17 - 8/26,2014 Massachusetts Gubernatorial GE
OnMessage (R-Maryland Republican Party),2014,8/18 - 8/19,2014 Maryland Governor: Hogan vs. Brown
Rasmussen,2014,8/18 - 8/19,2014 Connecticut Governor: Foley vs. Malloy
Rasmussen,2014,8/18 - 8/19,2014 Montana Senate: Daines vs. Curtis
VCR (R-McConnell),2014,8/18 - 8/20,2014 Kentucky Senate Republican Primary
GBA Strategies (D-Schertzing),2014,8/18 - 8/21,2014 Michigan CD-08
Robert Morris University,2014,8/18 - 8/22,2014 Pennsylvania Governor: Corbett vs. Wolf
Rasmussen,2014,8/18 - 8/24,2014 National House Race
Franklin and Marshall College,2014,8/18 - 8/25,2014 Pennsylvania Governor: Corbett vs. Wolf
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 Kansas Governor: Brownback vs. Davis
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 Maryland Governor: Hogan vs. Brown
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 Nevada Governor: Sandoval vs. Goodman
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 New York Governor: Astorino vs. Cuomo
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 Ohio Governor: Kasich vs. FitzGerald
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 Pennsylvania Governor: Corbett vs. Wolf
CBS/NYT/YouGov,2014,8/18 - 9/02,2014 Vermont Governor: Milne vs. Shumlin
